unnamed:_0,make,make_year,color,body_type,mileage_run,no_of_owners,seating_capacity,fuel_type,transmission,transmission_type,price
268,Ford,2019,red,hatchback,31262,1st,5,diesel,5-Speed,Manual,8204
269,Ford,2019,red,hatchback,31262,1st,5,diesel,5-Speed,Manual,8204
270,Honda,2017,red,hatchback,56221,1st,5,petrol,5-Speed,Automatic,6987
271,Hyundai,2021,grey,hatchback,27185,1st,5,petrol,5-Speed,Manual,8987
272,Honda,2014,red,sedan,63170,2nd,5,petrol,5-Speed,Manual,5445
273,Tata,2015,purple,hatchback,44736,1st,5,petrol,4-Speed,Manual,2591
274,Renault,2019,grey,hatchback,13111,1st,5,petrol,5-Speed,Manual,5457
275,Ford,2016,grey,hatchback,83705,1st,5,diesel,5-Speed,Manual,6277
276,Renault,2021,white,muv,7227,1st,7,petrol,5-Speed,Manual,9397
277,Hyundai,2014,white,sedan,45880,1st,5,petrol,5-Speed,Automatic,8361
278,Maruti Suzuki,2015,white,sedan,36850,1st,5,petrol,5-Speed,Manual,7568
279,Maruti Suzuki,2011,silver,hatchback,53160,1st,5,petrol,5-Speed,Manual,4619
280,Honda,2021,white,sedan,17790,1st,5,petrol,5-Speed,Manual,11915
281,Honda,2020,white,sedan,24218,1st,5,petrol,5-Speed,Manual,11325
282,Hyundai,2017,red,hatchback,11304,1st,5,petrol,5-Speed,Automatic,6698
283,Tata,2021,grey,hatchback,12002,1st,5,diesel,5-Speed,Manual,8512
284,Mahindra,2020,black,suv,61411,1st,5,diesel,6-Speed,Manual,11678
285,Hyundai,2014,grey,hatchback,35703,1st,5,petrol,5-Speed,Manual,5590
286,Hyundai,2017,grey,sedan,45378,1st,5,petrol,5-Speed,Manual,7096
287,Hyundai,2017,grey,sedan,45378,1st,5,petrol,5-Speed,Manual,7096
288,Hyundai,2017,grey,sedan,45378,1st,5,petrol,5-Speed,Manual,7096
289,Hyundai,2017,grey,sedan,45378,1st,5,petrol,5-Speed,Manual,7096
290,Hyundai,2018,grey,hatchback,28557,2nd,5,petrol,5-Speed,Automatic,6915
291,Maruti Suzuki,2021,white,hatchback,14853,1st,5,petrol,5-Speed,Manual,7102
292,Maruti Suzuki,2020,silver,sedan,70245,1st,5,petrol,5-Speed,Manual,9975
293,Maruti Suzuki,2020,grey,muv,22703,1st,5,petrol,5-Speed,Manual,5291
294,Renault,2020,blue,hatchback,36069,1st,5,petrol,5-Speed,Automatic,6602
295,Maruti Suzuki,2016,silver,hatchback,5227,1st,5,petrol,5-Speed,Manual,5725
296,Maruti Suzuki,2017,grey,hatchback,27803,1st,5,petrol,5-Speed,Automatic,5714
297,Honda,2017,white,sedan,47154,1st,5,petrol,5-Speed,Automatic,11469
298,Honda,2012,silver,hatchback,84488,1st,5,petrol,5-Speed,Manual,4096
299,Volkswagen,2014,brown,sedan,83265,2nd,5,diesel,5-Speed,Manual,9518
300,Volkswagen,2014,brown,sedan,83265,2nd,5,diesel,5-Speed,Manual,9518
301,Volkswagen,2014,brown,sedan,83265,2nd,5,diesel,5-Speed,Manual,9518
302,Volkswagen,2014,brown,sedan,83265,2nd,5,diesel,5-Speed,Manual,9518
303,Honda,2018,brown,sedan,16348,1st,5,petrol,5-Speed,Manual,9216
304,Hyundai,2012,white,hatchback,90078,1st,5,petrol,5-Speed,Manual,5060
305,Honda,2018,grey,suv,69591,3rd,5,diesel,6-Speed,Manual,9638
306,Hyundai,2013,blue,hatchback,56096,1st,5,petrol,5-Speed,Manual,5855
307,Mahindra,2017,white,suv,56418,1st,7,diesel,6-Speed,Manual,15885
308,Hyundai,2012,grey,hatchback,65284,1st,5,petrol,5-Speed,Manual,4192
309,Chevrolet,2015,grey,sedan,72489,1st,5,diesel,6-Speed,Automatic,9672
310,Volkswagen,2011,silver,hatchback,68645,2nd,5,petrol,5-Speed,Manual,5433
311,Hyundai,2018,blue,hatchback,33231,2nd,5,petrol,5-Speed,Manual,4855
312,Hyundai,2011,beige,hatchback,43953,1st,5,petrol,5-Speed,Manual,4072
313,Ford,2016,grey,suv,36422,1st,5,petrol,6-Speed,Automatic,9710
314,Maruti Suzuki,2015,red,sedan,78251,1st,5,petrol,5-Speed,Manual,6874
315,Hyundai,2016,red,hatchback,48481,1st,5,petrol,5-Speed,Manual,7879
316,Maruti Suzuki,2018,blue,sedan,37746,1st,5,petrol,4-Speed,Manual,9563
317,Hyundai,2017,silver,suv,50872,1st,5,petrol,6-Speed,Manual,14409
318,Hyundai,2015,grey,hatchback,25517,1st,5,petrol,5-Speed,Manual,8060
319,Ford,2014,silver,suv,74814,2nd,5,petrol,5-Speed,Manual,7096
320,Tata,2020,red,suv,24315,1st,5,diesel,6-Speed,Manual,20732
321,Hyundai,2017,blue,hatchback,63937,1st,5,petrol,5-Speed,Manual,7566
322,Maruti Suzuki,2019,white,sedan,11499,1st,5,petrol,5-Speed,Automatic,8804
323,Maruti Suzuki,2019,blue,hatchback,30420,1st,5,diesel,5-Speed,Automatic,9574
324,Maruti Suzuki,2018,white,sedan,15221,1st,5,petrol,4-Speed,Manual,9910
325,Mahindra,2017,black,suv,46438,1st,7,diesel,5-Speed,Manual,12057
326,Maruti Suzuki,2018,orange,hatchback,27941,1st,5,diesel,5-Speed,Manual,8783
327,Hyundai,2014,grey,hatchback,35461,2nd,5,petrol,4-Speed,Automatic,6385
328,Maruti Suzuki,2012,white,hatchback,46447,1st,5,diesel,5-Speed,Manual,4933
329,Maruti Suzuki,2013,grey,sedan,74652,1st,5,petrol,5-Speed,Manual,5400
330,Maruti Suzuki,2013,beige,hatchback,44746,1st,5,petrol,5-Speed,Manual,4369
331,Hyundai,2014,grey,hatchback,92092,1st,5,petrol,5-Speed,Manual,4578
332,Toyota,2020,red,sedan,26653,2nd,5,petrol,5-Speed,Manual,14472
333,Toyota,2020,red,sedan,26653,2nd,5,petrol,5-Speed,Manual,14472
334,Toyota,2020,red,sedan,26653,2nd,5,petrol,5-Speed,Manual,14472
335,Toyota,2020,red,sedan,26653,2nd,5,petrol,5-Speed,Manual,14472
336,Hyundai,2014,blue,hatchback,58748,2nd,5,petrol,5-Speed,Manual,5506
337,Hyundai,2016,beige,suv,90147,1st,5,petrol,6-Speed,Manual,9795
338,Hyundai,2017,grey,sedan,25905,1st,5,petrol,5-Speed,Manual,9879
339,Hyundai,2014,black,sedan,76890,1st,5,petrol,5-Speed,Manual,6048
340,Maruti Suzuki,2020,silver,hatchback,32490,1st,5,petrol,5-Speed,Manual,4489
341,Maruti Suzuki,2019,red,hatchback,13505,1st,5,petrol,5-Speed,Manual,4239
342,Maruti Suzuki,2021,silver,hatchback,21564,1st,5,petrol,5-Speed,Manual,4695
343,Maruti Suzuki,2018,grey,hatchback,22849,1st,5,petrol,5-Speed,Manual,4033
344,Maruti Suzuki,2016,white,hatchback,24374,1st,5,petrol,5-Speed,Manual,4163
345,Hyundai,2018,white,hatchback,31912,1st,5,petrol,5-Speed,Manual,9445
346,Hyundai,2016,red,suv,60578,1st,5,petrol,6-Speed,Manual,11698
347,Hyundai,2016,red,hatchback,95065,1st,5,petrol,5-Speed,Manual,7891
348,Renault,2022,white,hatchback,7342,1st,5,petrol,5-Speed,Automatic,6493
349,Renault,2021,blue,hatchback,9285,1st,5,petrol,5-Speed,Automatic,5662
350,Hyundai,2017,grey,hatchback,41443,1st,5,diesel,6-Speed,Manual,9518
351,Maruti Suzuki,2015,silver,hatchback,53848,2nd,5,petrol,5-Speed,Automatic,4500
352,Maruti Suzuki,2012,silver,hatchback,70568,2nd,5,petrol,5-Speed,Manual,3990
353,Maruti Suzuki,2012,black,sedan,61885,1st,5,petrol,5-Speed,Manual,4955
354,Honda,2019,grey,suv,16240,1st,5,petrol,5-Speed,Manual,10771
355,Hyundai,2011,red,hatchback,62840,1st,5,petrol,5-Speed,Manual,4072
356,Hyundai,2011,grey,hatchback,74710,2nd,5,petrol,5-Speed,Manual,4120
357,Renault,2021,grey,suv,19722,1st,5,petrol,5-Speed,Manual,11879
358,Renault,2014,silver,suv,85751,1st,5,diesel,5-Speed,Manual,7674
359,Hyundai,2016,white,hatchback,73251,1st,5,diesel,6-Speed,Manual,8289
360,Hyundai,2018,orange,hatchback,44188,1st,5,diesel,6-Speed,Automatic,9831
361,Ford,2019,red,hatchback,45590,1st,5,diesel,5-Speed,Manual,7759
362,Ford,2019,red,hatchback,45590,1st,5,diesel,5-Speed,Manual,7759
363,Ford,2019,red,hatchback,45590,1st,5,diesel,5-Speed,Manual,7759
364,Ford,2019,red,hatchback,45590,1st,5,diesel,5-Speed,Manual,7759
365,Hyundai,2016,blue,suv,97039,1st,5,diesel,6-Speed,Manual,13084
366,Hyundai,2016,blue,suv,97039,1st,5,diesel,6-Speed,Manual,13084
367,Hyundai,2016,blue,suv,97039,1st,5,diesel,6-Speed,Manual,13084
368,Hyundai,2016,blue,suv,97039,1st,5,diesel,6-Speed,Manual,13084
369,Hyundai,2016,silver,hatchback,14359,1st,5,petrol,5-Speed,Manual,8120
370,Hyundai,2018,white,hatchback,48670,2nd,5,petrol,5-Speed,Manual,4216
371,Hyundai,2018,red,suv,70015,1st,5,petrol,6-Speed,Automatic,14614
372,Maruti Suzuki,2011,silver,hatchback,41517,2nd,5,petrol,5-Speed,Manual,2981
373,Maruti Suzuki,2021,grey,hatchback,14818,1st,5,petrol,5-Speed,Manual,5779
374,Honda,2017,brown,sedan,46935,1st,5,petrol,5-Speed,Manual,9927
375,Hyundai,2020,white,hatchback,30590,1st,5,petrol,5-Speed,Automatic,9698
376,Hyundai,2017,black,suv,62805,1st,5,petrol,6-Speed,Manual,13228
377,Maruti Suzuki,2017,grey,sedan,47123,1st,5,petrol,5-Speed,Manual,8620
378,Maruti Suzuki,2019,silver,hatchback,50437,2nd,5,petrol,5-Speed,Manual,4402
379,Maruti Suzuki,2017,blue,sedan,49930,1st,5,petrol,5-Speed,Automatic,7807
380,Ford,2016,blue,suv,46485,1st,5,petrol,5-Speed,Automatic,8819
381,Maruti Suzuki,2014,white,hatchback,76306,1st,5,petrol,5-Speed,Automatic,4402
382,Hyundai,2015,blue,hatchback,80743,1st,5,petrol,5-Speed,Manual,7493
383,Hyundai,2018,red,hatchback,54836,1st,5,petrol,5-Speed,Automatic,8939
384,Maruti Suzuki,2018,blue,sedan,32170,1st,5,petrol,5-Speed,Automatic,7579
385,Toyota,2011,black,sedan,62193,1st,5,petrol,5-Speed,Manual,5645
386,Hyundai,2012,blue,hatchback,40097,1st,5,petrol,5-Speed,Manual,3421
387,Honda,2015,white,sedan,44188,1st,5,petrol,5-Speed,Manual,6915
388,Hyundai,2017,red,hatchback,86163,2nd,5,diesel,6-Speed,Manual,8421
389,Hyundai,2016,red,hatchback,50229,1st,5,petrol,5-Speed,Manual,7289
